"_univ-rank","d-none src","logo-wrapper src","uni-link","uni-link href","location","qs-stars-font","btn","overall-score-span","_addShortText"
"=47","https://www.topuniversities.com/themes/custom/tu_d8/images/svg/dagger_symbol.svg","https://www.topuniversities.com/sites/default/files/the-hong-kong-university-of-science-and-technology_269_small.jpg","The Hong Kong University of Science and Technology","https://www.topuniversities.com/universities/hong-kong-university-science-technology","Hong Kong,  Hong Kong SAR","QS Stars","More Details","77.1","Shortlist"
"=47","https://www.topuniversities.com/themes/custom/tu_d8/images/svg/dagger_symbol.svg","https://www.topuniversities.com/sites/default/files/zhejiang-university_592560cf2aeae70239af4d37_small.jpg","Zhejiang University","https://www.topuniversities.com/universities/zhejiang-university","Hangzhou,  China (Mainland)","QS Stars","More Details","77.1","Shortlist"
"49","https://www.topuniversities.com/themes/custom/tu_d8/images/svg/dagger_symbol.svg","https://www.topuniversities.com/sites/default/files/delft-university-of-technology_155_small.jpg","Delft University of Technology","https://www.topuniversities.com/universities/delft-university-technology","Delft,  Netherlands","QS Stars","More Details","77","Shortlist"
"=50","https://www.topuniversities.com/themes/custom/tu_d8/images/svg/dagger_symbol.svg","https://www.topuniversities.com/sites/default/files/kyoto-university_328_small.jpg","Kyoto University","https://www.topuniversities.com/universities/kyoto-university","Kyoto,  Japan","QS Stars","More Details","76","Shortlist"
"=50","https://www.topuniversities.com/themes/custom/tu_d8/images/svg/dagger_symbol.svg","https://www.topuniversities.com/sites/default/files/northwestern-university_592560cf2aeae70239af4c50_small.jpg","Northwestern University","https://www.topuniversities.com/universities/northwestern-university","Evanston,  United States","QS Stars","More Details","76","Shortlist"
"=50","https://www.topuniversities.com/themes/custom/tu_d8/images/svg/dagger_symbol.svg","https://www.topuniversities.com/sites/default/files/london-school-of-economics-and-political-science-lse_362_small.jpg","The London School of Economics and Political Science (LSE)","https://www.topuniversities.com/universities/london-school-economics-political-science-lse","London,  United Kingdom","QS Stars","More Details","76","Shortlist"
"53","https://www.topuniversities.com/themes/custom/tu_d8/images/svg/dagger_symbol.svg","https://www.topuniversities.com/sites/default/files/kaist-korea-advanced-institute-of-science-technology_324_small.jpg","KAIST - Korea Advanced Institute of Science & Technology","https://www.topuniversities.com/universities/kaist-korea-advanced-institute-science-technology","Daejeon,  South Korea","QS Stars","More Details","75.7","Shortlist"
"54","https://www.topuniversities.com/themes/custom/tu_d8/images/svg/dagger_symbol.svg","https://www.topuniversities.com/sites/default/files/university-of-bristol_69_small.jpg","University of Bristol","https://www.topuniversities.com/universities/university-bristol","Bristol,  United Kingdom","QS Stars","More Details","75.4","Shortlist"
"55","https://www.topuniversities.com/themes/custom/tu_d8/images/svg/dagger_symbol.svg","https://www.topuniversities.com/sites/default/files/university-of-amsterdam_18_small.jpg","University of Amsterdam","https://www.topuniversities.com/universities/university-amsterdam","Amsterdam,  Netherlands","QS Stars","More Details","73.7","Shortlist"
"56","https://www.topuniversities.com/themes/custom/tu_d8/images/svg/dagger_symbol.svg","https://www.topuniversities.com/sites/default/files/yonsei-university_688_small.jpg","Yonsei University","https://www.topuniversities.com/universities/yonsei-university","Seoul,  South Korea","QS Stars","More Details","72.9","Shortlist"
"57","https://www.topuniversities.com/themes/custom/tu_d8/images/svg/dagger_symbol.svg","https://www.topuniversities.com/sites/default/files/the-hong-kong-polytechnic-university_267_small.jpg","The Hong Kong Polytechnic University","https://www.topuniversities.com/universities/hong-kong-polytechnic-university","Hong Kong SAR,  Hong Kong SAR","QS Stars","More Details","72.1","Shortlist"
"58","https://www.topuniversities.com/themes/custom/tu_d8/images/svg/dagger_symbol.svg","https://www.topuniversities.com/sites/default/files/carnegie-mellon-university_101_small.jpg","Carnegie Mellon University","https://www.topuniversities.com/universities/carnegie-mellon-university","Pittsburgh,  United States","QS Stars","More Details","72","Shortlist"
"59","https://www.topuniversities.com/themes/custom/tu_d8/images/svg/dagger_symbol.svg","https://www.topuniversities.com/sites/default/files/ludwig-maximilians-universitt-mnchen_420_small.jpg","Ludwig-Maximilians-Universität München","https://www.topuniversities.com/universities/ludwig-maximilians-universitat-munchen","Munich,  Germany","QS Stars","More Details","71.6","Shortlist"
"60","https://www.topuniversities.com/themes/custom/tu_d8/images/svg/dagger_symbol.svg","https://www.topuniversities.com/sites/default/files/universiti-malaya-um_383_small.jpg","Universiti Malaya (UM)","https://www.topuniversities.com/universities/universiti-malaya-um","Kuala Lumpur,  Malaysia","QS Stars","More Details","71.2","Shortlist"
"61","https://www.topuniversities.com/themes/custom/tu_d8/images/svg/dagger_symbol.svg","https://www.topuniversities.com/sites/default/files/duke-university_168_small.jpg","Duke University","https://www.topuniversities.com/universities/duke-university","Durham,  United States","QS Stars","More Details","70.8","Shortlist"
"62","https://www.topuniversities.com/themes/custom/tu_d8/images/svg/dagger_symbol.svg","https://www.topuniversities.com/sites/default/files/240301064743am994206logo-48x48.jpg","City University of Hong Kong","https://www.topuniversities.com/universities/city-university-hong-kong","Hong Kong SAR","QS Stars","More Details","70.7","Shortlist"
"=63","https://www.topuniversities.com/themes/custom/tu_d8/images/svg/dagger_symbol.svg","https://www.topuniversities.com/sites/default/files/ku-leuven_592560cf2aeae70239af4aec_small.jpg","KU Leuven","https://www.topuniversities.com/universities/ku-leuven","Leuven,  Belgium","QS Stars","More Details","70.3","Shortlist"
"=63","https://www.topuniversities.com/themes/custom/tu_d8/images/svg/dagger_symbol.svg","https://www.topuniversities.com/sites/default/files/sorbonne-university_5a6afcfecb4de709397114fe_small.jpg","Sorbonne University","https://www.topuniversities.com/universities/sorbonne-university","Paris,  France","QS Stars","More Details","70.3","Shortlist"
"65","https://www.topuniversities.com/themes/custom/tu_d8/images/svg/dagger_symbol.svg","https://www.topuniversities.com/sites/default/files/221206065357am877738QS-Website-logo-01-48x48.jpg","The University of Auckland","https://www.topuniversities.com/universities/university-auckland","Auckland,  New Zealand","QS Stars","More Details","69.7","Shortlist"
"66","https://www.topuniversities.com/themes/custom/tu_d8/images/svg/dagger_symbol.svg","https://www.topuniversities.com/sites/default/files/university-of-texas-at-austin_604_small.jpg","University of Texas at Austin","https://www.topuniversities.com/universities/university-texas-austin","Austin,  United States","QS Stars","More Details","69.5","Shortlist"
"67","https://www.topuniversities.com/themes/custom/tu_d8/images/svg/dagger_symbol.svg","https://www.topuniversities.com/sites/default/files/korea-university_325_small.jpg","Korea University","https://www.topuniversities.com/universities/korea-university","Seoul,  South Korea","QS Stars","More Details","69","Shortlist"
"68","https://www.topuniversities.com/themes/custom/tu_d8/images/svg/dagger_symbol.svg","https://www.topuniversities.com/sites/default/files/national-taiwan-university-ntu_592560cf2aeae70239af4c3c_small.jpg","National Taiwan University (NTU)","https://www.topuniversities.com/universities/national-taiwan-university-ntu","Taipei,  Taiwan","QS Stars","More Details","68.7","Shortlist"
"=69","https://www.topuniversities.com/themes/custom/tu_d8/images/svg/dagger_symbol.svg","https://www.topuniversities.com/sites/default/files/240325030130pm310608Warwick-logo-48x48.jpg","The University of Warwick","https://www.topuniversities.com/universities/university-warwick","Coventry,  United Kingdom","QS Stars","More Details","68.2","Shortlist"
"=69","https://www.topuniversities.com/themes/custom/tu_d8/images/svg/dagger_symbol.svg","https://www.topuniversities.com/sites/default/files/university-of-illinois-at-urbana-champaign_2090_small.jpg","University of Illinois at Urbana-Champaign","https://www.topuniversities.com/universities/university-illinois-urbana-champaign","Champaign,  United States","QS Stars","More Details","68.2","Shortlist"
"71","https://www.topuniversities.com/themes/custom/tu_d8/images/svg/dagger_symbol.svg","https://www.topuniversities.com/sites/default/files/universidad-de-buenos-aires-uba_78_small.jpg","Universidad de Buenos Aires (UBA)","https://www.topuniversities.com/universities/universidad-de-buenos-aires-uba","Buenos Aires,  Argentina","QS Stars","More Details","67.6","Shortlist"
"72","https://www.topuniversities.com/themes/custom/tu_d8/images/svg/dagger_symbol.svg","https://www.topuniversities.com/sites/default/files/university-of-california-san-diego-ucsd_89_small.jpg","University of California, San Diego (UCSD)","https://www.topuniversities.com/universities/university-california-san-diego-ucsd","San Diego,  United States","QS Stars","More Details","67.1","Shortlist"
"73","https://www.topuniversities.com/themes/custom/tu_d8/images/svg/dagger_symbol.svg","https://www.topuniversities.com/sites/default/files/universit-paris-saclay_592560cf2aeae70239af4c6e_small.jpg","Université Paris-Saclay","https://www.topuniversities.com/universities/universite-paris-saclay","Gif-sur-Yvette,,  France","QS Stars","More Details","67","Shortlist"
"74","https://www.topuniversities.com/themes/custom/tu_d8/images/svg/dagger_symbol.svg","https://www.topuniversities.com/sites/default/files/kth-royal-institute-of-technology-_592560cf2aeae70239af4c9b_small.jpg","KTH Royal Institute of Technology","https://www.topuniversities.com/universities/kth-royal-institute-technology","Stockholm,  Sweden","QS Stars","More Details","65.7","Shortlist"
"75","https://www.topuniversities.com/themes/custom/tu_d8/images/svg/dagger_symbol.svg","https://www.topuniversities.com/sites/default/files/lund-university_371_small.jpg","Lund University","https://www.topuniversities.com/universities/lund-university","Lund,  Sweden","QS Stars","More Details","65.6","Shortlist"
"76","https://www.topuniversities.com/themes/custom/tu_d8/images/svg/dagger_symbol.svg","https://www.topuniversities.com/sites/default/files/university-of-washington_592560cf2aeae70239af4d1e_small.jpg","University of Washington","https://www.topuniversities.com/universities/university-washington","Seattle,  United States","QS Stars","More Details","65.3","Shortlist"
"77","https://www.topuniversities.com/themes/custom/tu_d8/images/svg/dagger_symbol.svg","https://www.topuniversities.com/sites/default/files/the-university-of-western-australia_673_small.jpg","The University of Western Australia","https://www.topuniversities.com/universities/university-western-australia","Perth,  Australia","QS Stars","More Details","65.2","Shortlist"
"78","https://www.topuniversities.com/themes/custom/tu_d8/images/svg/dagger_symbol.svg","https://www.topuniversities.com/sites/default/files/university-of-glasgow_592560cf2aeae70239af4b6c_small.jpg","University of Glasgow","https://www.topuniversities.com/universities/university-glasgow","Glasgow,  United Kingdom","QS Stars","More Details","65","Shortlist"
"79","https://www.topuniversities.com/themes/custom/tu_d8/images/svg/dagger_symbol.svg","https://www.topuniversities.com/sites/default/files/brown-university_72_small.jpg","Brown University","https://www.topuniversities.com/universities/brown-university","Providence,  United States","QS Stars","More Details","64.7","Shortlist"
"=80","https://www.topuniversities.com/themes/custom/tu_d8/images/svg/dagger_symbol.svg","https://www.topuniversities.com/sites/default/files/university-of-birmingham_59_small.jpg","University of Birmingham","https://www.topuniversities.com/universities/university-birmingham","Birmingham,  United Kingdom","QS Stars","More Details","64.1","Shortlist"
